fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2025,Fine Arts,FAR210,Chamber Choir,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,FY25,65,,
2025,Fine Arts,FAR411,Observational Drawing,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,FY25,66,,
2025,Fine Arts,FAR416,Digital Photography,0,61,6,2,6,3,0,3,2,0,0,0,0,0,0,0,83,0,0,83,FY25,67,,
2025,Fine Arts,FAR421,Scientific Illustration,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,FY25,68,,
2025,Fine Arts,FAR450,3D Design Foundations,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,FY25,69,,
2025,Fine Arts,FAR452,Graphic Design & Technology,0,14,5,2,0,0,1,0,1,0,0,0,0,0,0,0,23,0,0,23,FY25,70,,
2025,Fine Arts,FAR812,Independent Study in Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FY25,71,Includes counts in an unlabeled workbook column; excluded from GPA charts.,1
2025,History and Social Sciences,HSS100,American Studies,0,60,67,38,20,13,8,2,4,1,0,0,0,3,0,0,213,3,0,216,FY25,72,,
2025,History and Social Sciences,HSS201a,Ancient World Religion and Philosophy,0,37,17,10,10,5,1,1,1,3,0,0,0,4,0,0,85,4,0,89,FY25,73,,
2025,History and Social Sciences,HSS201b,Conflict in World History,0,20,17,7,10,3,1,0,0,0,0,0,0,0,0,0,58,0,0,58,FY25,74,,
2025,History and Social Sciences,HSS201i,Revolutions,0,39,15,5,10,2,3,2,0,0,0,0,0,0,0,0,76,0,0,76,FY25,75,,
2025,History and Social Sciences,HSS202,The World in the Twentieth Century,0,99,52,23,21,7,4,5,4,6,0,0,0,1,0,0,221,1,0,222,FY25,76,,
2025,History and Social Sciences,HSS311,Political Theory,0,8,8,1,2,1,0,0,0,1,0,0,0,0,0,0,21,0,0,21,FY25,77,,
2025,History and Social Sciences,HSS325,Modern Economics,0,58,26,9,5,2,1,0,0,0,0,0,0,0,0,0,101,0,0,101,FY25,78,,
2025,History and Social Sciences,HSS326,Modern Economics,0,18,27,8,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,55,FY25,79,,
2025,History and Social Sciences,HSS335,America in the Contemporary World,0,12,9,2,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,25,FY25,80,,
2025,History and Social Sciences,HSS343,History of Biology and Medicine,0,11,14,11,3,2,0,1,0,1,0,0,0,0,0,0,43,0,0,43,FY25,81,,
2025,History and Social Sciences,HSS352,History of Technology and Culture,0,10,17,5,4,0,0,1,0,0,0,0,0,0,0,0,37,0,0,37,FY25,82,,
2025,History and Social Sciences,HSS361,US Government and the Constitution,0,33,9,7,2,2,0,0,0,0,0,0,0,0,0,0,53,0,0,53,FY25,83,,
2025,History and Social Sciences,HSS380,China in the World,0,50,10,1,3,4,1,3,0,0,0,0,0,0,0,0,72,0,0,72,FY25,84,,
2025,History and Social Sciences,HSS394,"Modern Conflict, Insurgency & Terrorism",0,15,11,3,6,0,0,0,0,1,0,0,0,0,0,0,36,0,0,36,FY25,85,,
2025,History and Social Sciences,HSS801,Independent Study in History/Social Sci,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,12,0,12,FY25,86,,
2025,History and Social Sciences,HSS802,Independent Study in History/Social Sci,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,FY25,87,,
2025,Science,SCI105,Scientific Inquiries - Chemistry,0,72,33,20,24,14,12,17,10,5,0,0,0,1,0,0,207,1,0,208,FY25,88,,
2025,Science,SCI115,Scientific Inquiries - Physics,0,97,41,22,30,7,5,0,0,1,0,0,0,1,0,0,203,1,0,204,FY25,89,,
